Longitude,Latitude,Time,X,Y,Z,Speed
8.6667,9.3333,15.872,0.51939,-0.28018,-0.033794,0.67368
21.333,4,15.935,0.51136,-0.27616,-0.029233,0.67368
13.333,6,15.997,0.51391,-0.278,-0.030421,0.69474
11.667,15,16.06,0.52147,-0.28159,-0.032386,0.69474
4.6667,1.6667,16.122,0.52236,-0.28457,-0.032113,0.69474
7.3333,11.333,16.186,0.52078,-0.28494,-0.031203,0.69474
18.333,19,16.248,0.50867,-0.27231,-0.026627,0.69474
22,23.667,16.31,0.50876,-0.27491,-0.028527,0.54737
19,16.333,16.374,0.52399,-0.28857,-0.030222,0.54737
15.667,12.667,16.436,0.52348,-0.28575,-0.031255,0.54737
26.667,22,16.498,0.51498,-0.27544,-0.029264,0.54737
12.333,8.6667,16.561,0.50929,-0.26792,-0.029565,0.54737
13.333,10.333,16.626,0.5143,-0.27527,-0.027062,0.63158
7.3333,4,16.691,0.52273,-0.28093,-0.02819,0.63158
17.667,17.667,16.754,0.53078,-0.27492,-0.03089,0.63158
11,1,16.821,0.53034,-0.27052,-0.033589,0.63158
8,6.3333,16.89,0.53323,-0.27382,-0.031978,0.63158
16.333,26.333,16.951,0.52178,-0.26835,-0.021797,0.73684
21.333,25.333,17.016,0.52099,-0.26681,-0.016935,0.73684
26,26.333,17.078,0.5219,-0.26828,-0.012359,0.73684
20.667,2,17.141,0.5353,-0.28433,-0.016348,0.73684
16,5.3333,17.203,0.5355,-0.28459,-0.016302,0.73684
12,11.333,17.265,0.52444,-0.27566,-0.011851,0.73684
4.3333,14.333,17.328,0.52107,-0.2757,-0.010235,1.0947
5.6667,12.667,17.391,0.52199,-0.27487,-0.010001,1.0947
19,17,17.453,0.52465,-0.27458,-0.0048049,1.0947
25.667,13.667,17.515,0.54105,-0.27965,-0.0094744,1.0947
17,21.333,17.577,0.55698,-0.28043,-0.017783,1.0947
24,19,17.64,0.55488,-0.2824,-0.023308,1.0947
6,15.333,17.702,0.51382,-0.2891,-0.0026395,1.6211
18.333,4.3333,17.765,0.45514,-0.33047,0.04821,1.6211
8.6667,17,17.827,0.39944,-0.33761,0.094561,1.6211
1,25,17.889,0.3621,-0.32643,0.12368,1.4526
22,26.333,17.951,0.32455,-0.27356,0.16149,1.4526
11.667,19.333,18.014,0.36272,-0.26011,0.15469,1.4526
2.6667,5.3333,18.076,0.41435,-0.22953,0.14105,1.4526
25,23,18.139,0.47278,-0.19416,0.12669,1.4526
10.667,3.6667,18.202,0.4945,-0.18606,0.12174,1.4526
16,20,18.264,0.53883,-0.17227,0.11219,1.4526
6.6667,1.3333,18.326,0.54195,-0.17472,0.11081,1.4526
17.667,17.333,18.39,0.53776,-0.18078,0.11155,1.4526
10,1.6667,18.453,0.52478,-0.18774,0.10561,1.4526
13,24.667,18.516,0.52833,-0.19603,0.096622,1.3895
11,4.6667,18.578,0.54441,-0.20944,0.085772,1.3895
9,2.6667,18.64,0.5531,-0.22283,0.075911,1.3895
7.3333,8.3333,18.703,0.51983,-0.19941,0.083602,1.3895
20.667,18,18.764,0.47974,-0.1718,0.096086,1.3895
6.6667,5.6667,18.826,0.47275,-0.17865,0.092179,1.2421
25.667,26,18.889,0.4893,-0.19583,0.085233,1.2421
24.667,1.3333,18.952,0.50684,-0.2094,0.076955,1.2421
7.3333,13.333,19.016,0.51594,-0.2113,0.070403,1.2421
6,17.333,19.078,0.52651,-0.2185,0.067078,1.2421
7,11,19.14,0.54929,-0.24012,0.061773,1.2842
6.6667,1.6667,19.203,0.55732,-0.24845,0.061369,1.2842
6.6667,17,19.265,0.55147,-0.25356,0.06233,1.2842
11.667,6,19.326,0.55297,-0.27484,0.05538,1.2842
22.333,17,19.389,0.56794,-0.29271,0.052263,1.2842
16.667,10.667,19.452,0.57073,-0.30102,0.061517,1.3053
5.3333,21.333,19.515,0.57134,-0.30121,0.064638,1.3053
21.667,23.667,19.577,0.54316,-0.28698,0.076801,1.3053
26.333,21,19.64,0.52856,-0.28185,0.084365,1.3053
4,19,19.703,0.51526,-0.28227,0.095259,1.3053
23,11.333,19.765,0.50879,-0.2798,0.10246,1.4316
6.6667,17.333,19.828,0.53055,-0.29061,0.094669,1.4316
11.333,2.3333,19.891,0.55219,-0.30083,0.088255,1.4316
8.6667,10.333,19.953,0.56885,-0.30507,0.081094,1.4316
11.667,12,20.016,0.55824,-0.30103,0.083016,1.4316
9,11,20.079,0.54298,-0.28895,0.084553,1.4526
